"line","place_geoid","in_DMV","place_pop","poverty_perc","placeOverall1","valueOverall1","placeFederal1","valueFederal1","placeMission1","valueMission1","placeSmallBiz1","valueSmallBiz1","placeNonRes1","valueNonRes1","placeSF1","valueSF1","placeMF1","valueMF1"
1,51107,TRUE,395134,0.037075905,"Loudoun County, VA",44257.13166,"Bronx County, NY",845.7944596,"El Paso County, TX",848.5532783,"Fort Bend County, TX",9404.69874,"Will County, IL",13921.4759,"Loudoun County, VA",43290.13333,"San Francisco County, CA",9247.115588
2,51610,TRUE,14128,0.032946713,"Falls Church City, VA",42942.97642,"Denver County, CO",668.834306,"Washington, DC",819.33914,"Collin County, TX",9217.027004,"Hudson County, NJ",11937.20427,"Falls Church City, VA",41556.6485,"Santa Clara County, CA",8637.330146
3,51600,TRUE,23531,0.081041862,"Fairfax City, VA",42350.60087,"Snohomish County, WA",525.8828446,"Lee County, FL",520.6622563,"Denton County, TX",8432.34412,"Denton County, TX",11293.31842,"Alexandria City, VA",41019.40918,"Philadelphia County, PA",8616.79731
4,11001,TRUE,692683,0.165916048,"Washington, DC",34959.86285,"New York County, NY",519.4164158,"Fairfax City, VA",473.6451038,"Wake County, NC",7464.866271,"Collin County, TX",10301.70231,"New York County, NY",38139.68788,"San Mateo County, CA",8122.078587
5,8031,FALSE,705576,0.146548473,"Denver County, CO",33820.26601,"King County, WA",497.3793853,"Hillsborough County, FL",463.2823499,"Gwinnett County, GA",7311.193054,"Lake County, IL",9444.375868,"Arlington County, VA",37912.70682,"Los Angeles County, CA",8092.812516
6,6081,FALSE,767423,0.06939823,"San Mateo County, CA",33059.89555,"Suffolk County, MA",484.1769785,"Jackson County, MO",437.7220409,"Fulton County, GA",7217.886238,"San Joaquin County, CA",9330.387553,"Washington, DC",37357.10293,"Alameda County, CA",8064.954567
7,6085,FALSE,1927470,0.084263933,"Santa Clara County, CA",33059.45537,"Essex County, NJ",412.8410455,"San Francisco County, CA",410.8308541,"Cobb County, GA",7133.912505,"Du Page County, IL",9115.880595,"San Francisco County, CA",36599.20555,"Gwinnett County, GA",7702.579255
8,53033,FALSE,2195502,0.102606217,"King County, WA",32450.85229,"San Francisco County, CA",408.1031486,"Suffolk County, MA",402.5269844,"Loudoun County, VA",6964.226842,"Denver County, CO",8944.391895,"San Mateo County, CA",35205.39239,"El Paso County, CO",7323.86968
9,48085,FALSE,973977,0.071096195,"Collin County, TX",31384.99766,"Fulton County, GA",325.2115444,"Falls Church City, VA",381.5170363,"Tarrant County, TX",6909.430873,"Cook County, IL",8533.747695,"Santa Clara County, CA",35199.0752,"Loudoun County, VA",7250.733021
10,6075,FALSE,874961,0.119580739,"San Francisco County, CA",30813.39402,"Travis County, TX",312.6893857,"Hamilton County, OH",377.5446222,"Mecklenburg County, NC",6861.901889,"Pierce County, WA",8508.235967,"King County, WA",30326.27574,"Pierce County, WA",7221.81543
11,51059,TRUE,1145862,0.060378377,"Fairfax County, VA",30545.56242,"Hudson County, NJ",285.0518513,"Arlington County, VA",375.005505,"Denver County, CO",6788.108908,"Fort Bend County, TX",8384.650493,"Alameda County, CA",30127.77725,"Ventura County, CA",7205.495013
12,51510,TRUE,157613,0.092781248,"Alexandria City, VA",30371.44348,"Westchester County, NY",261.2438603,"Shelby County, TN",368.7548987,"Davidson County, TN",6672.215458,"Travis County, TX",8315.285061,"Denver County, CO",30016.02295,"Cobb County, GA",7187.354903
13,36061,FALSE,1631993,0.153238494,"New York County, NY",29039.33836,"Kings County, NY",254.2952506,"New York County, NY",368.4902411,"De Kalb County, GA",6438.093021,"San Bernardino County, CA",8296.118824,"Fairfax County, VA",29401.60427,"Denver County, CO",7124.174819
14,49035,FALSE,1133646,0.112622838,"Salt Lake County, UT",29022.36296,"Milwaukee County, WI",248.9743402,"Milwaukee County, WI",357.2071341,"Maricopa County, AZ",6366.885625,"Tarrant County, TX",8165.730815,"Suffolk County, MA",29304.29802,"Contra Costa County, CA",6997.173443
15,17043,FALSE,929060,0.067660079,"Du Page County, IL",28489.59891,"Miami-Dade County, FL",247.6387845,"Bronx County, NY",318.4709393,"Lake County, IL",6355.660693,"Clark County, NV",7982.630807,"Contra Costa County, CA",29284.1811,"Hudson County, NJ",6878.9325
16,6001,FALSE,1656754,0.112841167,"Alameda County, CA",28257.09122,"Washington, DC",244.9846078,"Polk County, FL",313.6816982,"Jefferson County, KY",6249.124541,"Riverside County, CA",7967.903085,"Fairfax City, VA",28470.37893,"Multnomah County, OR",6870.939632
17,6059,FALSE,3168044,0.109855195,"Orange County, CA",28217.52404,"Arlington County, VA",229.9953451,"Philadelphia County, PA",298.0872806,"Travis County, TX",6221.671719,"Washington, DC",7837.985423,"San Diego County, CA",27498.59006,"San Diego County, CA",6810.311478
18,48121,FALSE,833822,0.08738763,"Denton County, TX",27979.20464,"Marion County, IN",226.6441939,"Pierce County, WA",287.7562333,"Marion County, IN",6116.473015,"Salt Lake County, UT",7767.515441,"Denton County, TX",26946.45743,"Sacramento County, CA",6752.057095
19,48453,FALSE,1226805,0.139091368,"Travis County, TX",27806.57019,"Oklahoma County, OK",224.6303552,"Denver County, CO",277.3520573,"Will County, IL",6106.68815,"Fresno County, CA",7362.487719,"Orange County, CA",26337.99622,"Orange County, CA",6621.616552
20,51013,TRUE,233464,0.077635081,"Arlington County, VA",27536.01583,"Fairfield County, CT",220.8231485,"Los Angeles County, CA",276.1234946,"Harris County, TX",6019.620236,"Jackson County, MO",7292.724093,"Travis County, TX",26005.13874,"Suffolk County, MA",6503.452013
21,6013,FALSE,1142251,0.093302292,"Contra Costa County, CA",27156.02897,"El Paso County, TX",219.479075,"Hidalgo County, TX",272.7586064,"Hennepin County, MN",5879.028001,"Alameda County, CA",7163.129879,"Collin County, TX",25557.64571,"Franklin County, OH",6324.441896
22,53061,FALSE,798808,0.090458965,"Snohomish County, WA",27037.36736,"Jefferson County, KY",216.7745777,"Cook County, IL",269.0290525,"Oklahoma County, OK",5820.809214,"Maricopa County, AZ",7154.736007,"El Paso County, CO",25000.80804,"Essex County, NJ",6313.922788
23,13121,FALSE,1036200,0.158377129,"Fulton County, GA",26456.98147,"Wayne County, MI",206.7075759,"Essex County, NJ",261.2640201,"Orange County, CA",5778.668885,"Kern County, CA",7049.500755,"Hudson County, NJ",24390.52465,"King County, WA",6214.71582
24,37119,FALSE,1074475,0.131679311,"Mecklenburg County, NC",25684.18672,"Cuyahoga County, OH",191.5818355,"Alameda County, CA",259.6533806,"Dallas County, TX",5775.821563,"San Diego County, CA",7019.963218,"Fulton County, GA",24218.77742,"Middlesex County, MA",6195.227928
25,6073,FALSE,3316073,0.127772077,"San Diego County, CA",25630.55019,"Clark County, NV",191.4044765,"Kings County, NY",253.7710106,"Hamilton County, OH",5767.943132,"Los Angeles County, CA",6970.552923,"Snohomish County, WA",24185.27499,"Mecklenburg County, NC",6153.176156
26,48157,FALSE,765394,0.078884387,"Fort Bend County, TX",25349.92367,"De Kalb County, GA",186.2381408,"Multnomah County, OR",247.0399945,"Pierce County, WA",5762.904791,"Prince George's County, MD",6939.68975,"Fairfield County, CT",24152.31827,"Snohomish County, WA",6051.949685
27,25021,FALSE,700437,0.067573423,"Norfolk County, MA",24686.874,"Monroe County, NY",182.9244367,"Bernalillo County, NM",239.848463,"St Louis County, MO",5609.911938,"Ventura County, CA",6914.03476,"Honolulu County, HI",23883.82062,"Fort Bend County, TX",6011.850303
28,37183,FALSE,1069079,0.102126859,"Wake County, NC",24560.8381,"Hennepin County, MN",180.9820292,"Wayne County, MI",231.9841445,"Du Page County, IL",5572.650727,"Snohomish County, WA",6874.903375,"Montgomery County, MD",23741.84478,"Prince George's County, MD",5931.66173
29,6111,FALSE,847263,0.093365785,"Ventura County, CA",24102.6928,"Bernalillo County, NM",179.3193858,"Fulton County, GA",231.6960784,"Snohomish County, WA",5554.736107,"El Paso County, CO",6751.213744,"Norfolk County, MA",23648.88838,"Montgomery County, PA",5842.432345
