race_cat,percentile,valueOverall4,valueFederal4,valueMission4,valueSmallBiz4,valueNonRes4,valueSF4,valueMF4
0-5% Asian,0-5%,23324.46722,157.289076,546.9357761,4455.434458,7441.080597,26135.29018,5400.31848
6-10% Asian,6-10%,27822.42173,115.9415932,179.3705977,4164.632969,6453.358146,29889.10348,5093.335514
11-20% Asian,11-20%,27680.56536,43.83661194,112.8023642,4523.929863,4726.320183,27266.39538,4146.038859
21+% Asian,21+%,31880.32508,70.72268789,53.87755569,5311.537637,4227.191637,32452.17781,5409.146035
,,,,,,,,
0-20% Black,0-20%,31622.71433,66.06836618,106.4814196,4724.038907,4761.469016,32641.3304,4042.613067
21-40% Black,21-40%,22773.16134,97.78913246,243.6511041,4188.654264,6800.516161,23809.85497,6684.569664
41-60% Black,41-60%,22465.87289,220.010766,486.5115059,4380.677635,5732.049366,22968.87895,5535.756694
61-80% Black,61-80%,22306.29063,107.555659,405.5979796,4547.265502,9908.872141,20889.97847,5642.278816
81+% Black,81+%,15302.4569,214.9987777,831.8050041,3996.272355,8829.601115,15778.14109,5122.96756
0-10% Hispanic,0-20%,31035.71,101.06261,349.3663,4859.378,5571.598,31917.7,5040.893
11-20% Hispanic,21-40%,27350.24,82.20232,177.959,4405.449,5541.513,27156.21,4890.562
21-30% Hispanic,41-60%,21307.08,95.34377,187.2017,4471.244,5224.937,23690.49,5291.661
31+% Hispanic,61+%,16698.28,145.08283,132.8219,3988.534,4982.6,19303.77,4760.147
,,,,,,,,
0-20% white,0-20%,16730.56882,169.1501442,533.9406978,4227.075787,8173.364652,17107.68012,5163.323071
21-40% white,21-40%,22932.75,88.19060741,175.0522225,4599.292393,5356.942587,24254.36981,5500.96575
41-60% white,41-60%,29501.69855,114.2730235,144.2939492,4563.260089,4884.349592,30251.42413,5178.596608
61-80% white,61-80%,34863.63835,52.82385043,183.5340021,4652.590968,5297.343638,34704.92101,4448.981978
81+% white,81+%,38888.86238,4.902339228,112.3973502,5027.432131,4824.306914,38983.2504,2245.344619
